,open,high,low,close,volume
2026-04-10 09:15:00+05:30,23880.55,23978.7,23856.35,23937.35,49661020
2026-04-10 09:30:00+05:30,23938.05,23959.5,23921.85,23948.6,29207754
2026-04-10 09:45:00+05:30,23949.3,23998.25,23943.65,23988.45,22545459
2026-04-10 10:00:00+05:30,23988.65,24002.85,23916.3,23994.95,23118905
2026-04-10 10:15:00+05:30,23996.9,24036.2,23996.9,24010.0,15731108
2026-04-10 10:30:00+05:30,24008.9,24026.1,24001.0,24003.75,12636667
2026-04-10 10:45:00+05:30,24003.65,24009.05,23972.3,23999.7,14455031
2026-04-10 11:00:00+05:30,23999.8,24021.35,23993.95,24012.05,11407781
2026-04-10 11:15:00+05:30,24011.35,24015.35,23971.3,23972.15,15349512
2026-04-10 11:30:00+05:30,23972.8,24007.4,23970.05,23980.95,16918285
2026-04-10 11:45:00+05:30,23979.7,23996.0,23953.8,23994.7,11522929
2026-04-10 12:00:00+05:30,23994.3,24019.55,23984.95,24009.1,13320349
2026-04-10 12:15:00+05:30,24007.9,24032.6,23991.15,24009.35,13165966
2026-04-10 12:30:00+05:30,24010.4,24022.0,23995.3,24004.3,11437965
2026-04-10 12:45:00+05:30,24003.65,24018.95,23986.15,24004.9,14960733
2026-04-10 13:00:00+05:30,24005.3,24021.75,23999.35,24003.15,11459943
2026-04-10 13:15:00+05:30,24003.4,24010.75,23996.0,24007.5,15552139
2026-04-10 13:30:00+05:30,24007.0,24025.7,23999.15,24020.7,13277651
2026-04-10 13:45:00+05:30,24020.15,24044.9,24002.35,24041.2,12949682
2026-04-10 14:00:00+05:30,24041.0,24048.2,23998.45,24020.4,14671231
2026-04-10 14:15:00+05:30,24020.45,24021.8,23938.6,23965.35,19962344
2026-04-10 14:30:00+05:30,23964.65,23993.45,23947.25,23982.9,20048622
2026-04-10 14:45:00+05:30,23981.85,24006.15,23956.75,23994.2,21311155
2026-04-10 15:00:00+05:30,23994.85,24074.05,23994.85,24058.1,35287787
2026-04-10 15:15:00+05:30,24057.2,24063.45,24045.9,24050.5,38035568
2026-04-13 09:15:00+05:30,23589.6,23699.7,23555.6,23604.7,59890184
2026-04-13 09:30:00+05:30,23604.3,23644.0,23580.35,23633.5,24638679
2026-04-13 09:45:00+05:30,23634.3,23680.4,23612.45,23669.05,19012307
2026-04-13 10:00:00+05:30,23668.8,23682.65,23653.15,23660.05,20341105
2026-04-13 10:15:00+05:30,23655.5,23732.3,23634.05,23721.5,20232992
2026-04-13 10:30:00+05:30,23721.8,23738.55,23696.3,23723.55,16071808
2026-04-13 10:45:00+05:30,23723.2,23757.95,23721.85,23740.0,19972011
2026-04-13 11:00:00+05:30,23737.45,23752.3,23730.4,23743.7,13250295
2026-04-13 11:15:00+05:30,23743.75,23762.75,23731.1,23740.5,11444623
2026-04-13 11:30:00+05:30,23740.65,23772.3,23729.4,23756.15,11288700
2026-04-13 11:45:00+05:30,23756.75,23811.35,23754.6,23785.65,13626910
2026-04-13 12:00:00+05:30,23785.95,23816.2,23785.45,23814.6,12577819
2026-04-13 12:15:00+05:30,23814.7,23836.55,23796.0,23835.95,10807371
2026-04-13 12:30:00+05:30,23837.6,23847.75,23821.5,23841.35,11163395
2026-04-13 12:45:00+05:30,23842.15,23845.7,23780.9,23806.45,16649367
2026-04-13 13:00:00+05:30,23806.8,23822.4,23771.75,23820.65,10704237
2026-04-13 13:15:00+05:30,23821.25,23839.8,23805.25,23823.4,12401911
2026-04-13 13:30:00+05:30,23824.55,23856.8,23822.9,23835.45,13496500
2026-04-13 13:45:00+05:30,23835.85,23907.4,23831.9,23893.7,18128101
2026-04-13 14:00:00+05:30,23893.05,23897.3,23835.2,23854.5,14821502
2026-04-13 14:15:00+05:30,23854.75,23881.65,23834.6,23866.05,12620013
2026-04-13 14:30:00+05:30,23865.45,23897.45,23855.75,23866.35,16545811
2026-04-13 14:45:00+05:30,23866.05,23897.4,23854.6,23883.7,17034713
2026-04-13 15:00:00+05:30,23884.95,23888.2,23822.25,23845.4,52104059
2026-04-13 15:15:00+05:30,23843.65,23847.0,23814.65,23818.9,34701432
2026-04-15 09:15:00+05:30,24163.8,24280.9,24162.7,24192.45,59435461
2026-04-15 09:30:00+05:30,24193.5,24215.95,24145.8,24207.35,24217182
2026-04-15 09:45:00+05:30,24207.05,24225.2,24186.7,24216.0,19758035
2026-04-15 10:00:00+05:30,24216.8,24253.35,24214.05,24241.65,21628834
2026-04-15 10:15:00+05:30,24241.55,24272.55,24241.55,24260.1,15191895
2026-04-15 10:30:00+05:30,24260.4,24273.15,24235.45,24243.1,14108703
2026-04-15 10:45:00+05:30,24242.5,24255.75,24208.8,24216.1,14845812
2026-04-15 11:00:00+05:30,24216.35,24216.5,24177.6,24184.25,13318511
2026-04-15 11:15:00+05:30,24184.5,24207.5,24174.5,24188.05,11724422
2026-04-15 11:30:00+05:30,24188.1,24211.05,24184.65,24210.35,10766179
2026-04-15 11:45:00+05:30,24210.6,24226.25,24202.15,24217.1,11950695
2026-04-15 12:00:00+05:30,24217.75,24234.95,24217.45,24226.85,10734988
